,,, co, co, co
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,10.0,10.0,10.0
2013,12,Gwanak-Gu,8.0,8.0,8.0
2013,12,Jeongnim-Dong,7.0,7.0,7.0
2013,12,Jungang-Way,9.0,9.0,9.0
2013,12,Juwol-Dong,13.0,13.0,13.0
2013,12,Nowon-Gu,7.0,7.0,7.0
2014,1,Bangsan-Myeon,2.0,7.0,4.333333333333333
2014,1,Geumchon-Dong,4.0,17.0,10.806451612903226
2014,1,Gwanak-Gu,4.0,17.0,9.290322580645162
2014,1,Jeongnim-Dong,4.0,13.0,8.612903225806452
2014,1,Jungang-Way,3.0,19.0,10.67741935483871
2014,1,Juwol-Dong,5.0,18.0,10.548387096774194
2014,1,Nowon-Gu,3.0,13.0,7.870967741935484
2014,1,Pado-Ri,2.0,6.0,3.111111111111111
2014,1,Seolseong-Myeon,5.0,10.0,7.222222222222222
2014,2,Bangsan-Myeon,2.0,8.0,4.407407407407407
2014,2,Geumchon-Dong,1.0,15.0,8.703703703703704
2014,2,Gwanak-Gu,4.0,16.0,8.25
2014,2,Jeongnim-Dong,3.0,13.0,7.535714285714286
2014,2,Jungang-Way,3.0,13.0,7.642857142857143
2014,2,Juwol-Dong,5.0,16.0,9.214285714285714
2014,2,Nowon-Gu,3.0,12.0,6.321428571428571
2014,2,Pado-Ri,3.0,10.0,4.769230769230769
2014,2,Seolseong-Myeon,3.0,10.0,5.964285714285714
2014,3,Bangsan-Myeon,2.0,6.0,4.066666666666666
2014,3,Geumchon-Dong,3.0,10.0,6.387096774193548
2014,3,Gwanak-Gu,4.0,10.0,6.129032258064516
2014,3,Jeongnim-Dong,3.0,10.0,5.096774193548387
2014,3,Jungang-Way,3.0,8.0,5.870967741935484
2014,3,Juwol-Dong,6.0,14.0,9.290322580645162
2014,3,Nowon-Gu,2.0,7.0,4.354838709677419
2014,3,Pado-Ri,2.0,7.0,3.4482758620689653
2014,3,Seolseong-Myeon,3.0,8.0,4.645161290322581
2014,4,Bangsan-Myeon,2.0,7.0,3.8518518518518516
2014,4,Geumchon-Dong,2.0,9.0,4.8
2014,4,Gwanak-Gu,4.0,9.0,6.033333333333333
2014,4,Jeongnim-Dong,2.0,7.0,4.6
2014,4,Jungang-Way,2.0,9.0,4.4
2014,4,Juwol-Dong,5.0,11.0,7.6
2014,4,Nowon-Gu,2.0,8.0,4.666666666666667
2014,4,Pado-Ri,2.0,5.0,3.1379310344827585
2014,4,Seolseong-Myeon,2.0,8.0,4.310344827586207
2014,5,Bangsan-Myeon,2.0,6.0,3.4482758620689653
2014,5,Geumchon-Dong,3.0,10.0,5.8
2014,5,Gwanak-Gu,4.0,8.0,5.580645161290323
2014,5,Jeongnim-Dong,3.0,9.0,4.967741935483871
2014,5,Jungang-Way,2.0,5.0,3.4516129032258065
2014,5,Juwol-Dong,6.0,10.0,7.838709677419355
2014,5,Nowon-Gu,2.0,6.0,4.032258064516129
2014,5,Pado-Ri,2.0,5.0,3.0
2014,5,Seolseong-Myeon,3.0,6.0,4.266666666666667
2014,6,Bangsan-Myeon,1.0,5.0,2.076923076923077
2014,6,Geumchon-Dong,2.0,7.0,4.9
2014,6,Gwanak-Gu,3.0,7.0,4.6
2014,6,Jeongnim-Dong,3.0,7.0,4.137931034482759
2014,6,Jungang-Way,1.0,6.0,2.392857142857143
2014,6,Juwol-Dong,2.0,9.0,6.133333333333334
2014,6,Nowon-Gu,2.0,4.0,3.107142857142857
