,,, no2, no2, no2
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,27.0,27.0,27.0
2013,12,Gwanak-Gu,28.0,28.0,28.0
2013,12,Jeongnim-Dong,25.0,25.0,25.0
2013,12,Jungang-Way,13.0,13.0,13.0
2013,12,Juwol-Dong,35.0,35.0,35.0
2013,12,Nowon-Gu,34.0,34.0,34.0
2014,1,Bangsan-Myeon,3.0,13.0,6.666666666666667
2014,1,Geumchon-Dong,18.0,60.0,33.903225806451616
2014,1,Gwanak-Gu,15.0,60.0,33.25806451612903
2014,1,Jeongnim-Dong,19.0,49.0,33.32258064516129
2014,1,Jungang-Way,6.0,34.0,21.741935483870968
2014,1,Juwol-Dong,17.0,60.0,36.61290322580645
2014,1,Nowon-Gu,12.0,62.0,39.806451612903224
2014,1,Pado-Ri,1.0,4.0,2.2222222222222223
2014,1,Seolseong-Myeon,8.0,28.0,17.11111111111111
2014,2,Bangsan-Myeon,1.0,11.0,4.071428571428571
2014,2,Geumchon-Dong,10.0,41.0,23.071428571428573
2014,2,Gwanak-Gu,17.0,73.0,40.67857142857143
2014,2,Jeongnim-Dong,14.0,51.0,30.285714285714285
2014,2,Jungang-Way,3.0,28.0,16.285714285714285
2014,2,Juwol-Dong,15.0,54.0,31.464285714285715
2014,2,Nowon-Gu,10.0,61.0,32.642857142857146
2014,2,Pado-Ri,1.0,10.0,2.9615384615384617
2014,2,Seolseong-Myeon,6.0,25.0,13.285714285714286
2014,3,Bangsan-Myeon,3.0,12.0,6.419354838709677
2014,3,Geumchon-Dong,12.0,36.0,23.096774193548388
2014,3,Gwanak-Gu,15.0,56.0,34.483870967741936
2014,3,Jeongnim-Dong,17.0,47.0,24.70967741935484
2014,3,Jungang-Way,8.0,59.0,18.4
2014,3,Juwol-Dong,18.0,53.0,30.258064516129032
2014,3,Nowon-Gu,11.0,62.0,33.03225806451613
2014,3,Pado-Ri,1.0,7.0,3.1666666666666665
2014,3,Seolseong-Myeon,6.0,23.0,11.387096774193548
2014,4,Bangsan-Myeon,1.0,8.0,4.666666666666667
2014,4,Geumchon-Dong,9.0,33.0,19.6
2014,4,Gwanak-Gu,15.0,58.0,35.86666666666667
2014,4,Jeongnim-Dong,12.0,32.0,20.566666666666666
2014,4,Jungang-Way,7.0,23.0,14.0
2014,4,Juwol-Dong,11.0,46.0,27.533333333333335
2014,4,Nowon-Gu,10.0,55.0,31.766666666666666
2014,4,Pado-Ri,1.0,6.0,2.2857142857142856
2014,4,Seolseong-Myeon,5.0,17.0,11.066666666666666
2014,5,Bangsan-Myeon,2.0,10.0,5.258064516129032
2014,5,Geumchon-Dong,8.0,26.0,17.033333333333335
2014,5,Gwanak-Gu,12.0,42.0,24.838709677419356
2014,5,Jeongnim-Dong,9.0,27.0,15.193548387096774
2014,5,Jungang-Way,3.0,21.0,12.225806451612904
2014,5,Juwol-Dong,5.0,28.0,19.64516129032258
2014,5,Nowon-Gu,11.0,44.0,27.548387096774192
2014,5,Pado-Ri,1.0,10.0,2.2903225806451615
2014,5,Seolseong-Myeon,4.0,16.0,8.709677419354838
2014,6,Bangsan-Myeon,4.0,8.0,5.666666666666667
2014,6,Geumchon-Dong,6.0,22.0,11.633333333333333
2014,6,Gwanak-Gu,12.0,49.0,21.9
2014,6,Jeongnim-Dong,10.0,21.0,14.066666666666666
2014,6,Jungang-Way,7.0,19.0,10.466666666666667
2014,6,Juwol-Dong,12.0,27.0,18.266666666666666
