,,, o3, o3, o3
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,19.0,19.0,19.0
2013,12,Gwanak-Gu,19.0,19.0,19.0
2013,12,Jeongnim-Dong,22.0,22.0,22.0
2013,12,Jungang-Way,24.0,24.0,24.0
2013,12,Juwol-Dong,24.0,24.0,24.0
2013,12,Nowon-Gu,12.0,12.0,12.0
2014,1,Bangsan-Myeon,16.0,34.0,27.11111111111111
2014,1,Geumchon-Dong,4.0,23.0,14.548387096774194
2014,1,Gwanak-Gu,3.0,22.0,12.32258064516129
2014,1,Jeongnim-Dong,4.0,30.0,14.193548387096774
2014,1,Jungang-Way,1.0,34.0,18.870967741935484
2014,1,Juwol-Dong,6.0,38.0,20.806451612903224
2014,1,Nowon-Gu,1.0,17.0,9.516129032258064
2014,1,Pado-Ri,7.0,25.0,16.555555555555557
2014,1,Seolseong-Myeon,5.0,24.0,16.444444444444443
2014,2,Bangsan-Myeon,21.0,62.0,38.32142857142857
2014,2,Geumchon-Dong,14.0,47.0,27.75
2014,2,Gwanak-Gu,8.0,34.0,21.071428571428573
2014,2,Jeongnim-Dong,9.0,38.0,23.571428571428573
2014,2,Jungang-Way,14.0,54.0,32.0
2014,2,Juwol-Dong,14.0,43.0,27.642857142857142
2014,2,Nowon-Gu,9.0,17.0,13.892857142857142
2014,2,Pado-Ri,4.0,25.0,12.535714285714286
2014,2,Seolseong-Myeon,10.0,51.0,31.428571428571427
2014,3,Bangsan-Myeon,35.0,84.0,48.67741935483871
2014,3,Geumchon-Dong,23.0,57.0,36.935483870967744
2014,3,Gwanak-Gu,11.0,52.0,31.451612903225808
2014,3,Jeongnim-Dong,11.0,64.0,24.451612903225808
2014,3,Jungang-Way,27.0,76.0,43.064516129032256
2014,3,Juwol-Dong,14.0,72.0,39.0
2014,3,Nowon-Gu,7.0,71.0,32.903225806451616
2014,3,Pado-Ri,7.0,69.0,31.483870967741936
2014,3,Seolseong-Myeon,10.0,73.0,42.806451612903224
2014,4,Bangsan-Myeon,39.0,100.0,61.86666666666667
2014,4,Geumchon-Dong,30.0,77.0,48.53333333333333
2014,4,Gwanak-Gu,10.0,62.0,36.43333333333333
2014,4,Jeongnim-Dong,8.0,40.0,25.966666666666665
2014,4,Jungang-Way,29.0,78.0,48.166666666666664
2014,4,Juwol-Dong,30.0,85.0,48.93333333333333
2014,4,Nowon-Gu,15.0,88.0,49.766666666666666
2014,4,Pado-Ri,4.0,64.0,20.4
2014,4,Seolseong-Myeon,30.0,77.0,50.2
2014,5,Bangsan-Myeon,38.0,119.0,66.41935483870968
2014,5,Geumchon-Dong,31.0,118.0,62.13333333333333
2014,5,Gwanak-Gu,31.0,105.0,49.03225806451613
2014,5,Jeongnim-Dong,19.0,110.0,56.87096774193548
2014,5,Jungang-Way,24.0,142.0,65.3
2014,5,Juwol-Dong,39.0,93.0,57.193548387096776
2014,5,Nowon-Gu,9.0,112.0,65.12903225806451
2014,5,Pado-Ri,5.0,119.0,45.935483870967744
2014,5,Seolseong-Myeon,28.0,104.0,58.225806451612904
2014,6,Bangsan-Myeon,23.0,65.0,39.96666666666667
2014,6,Geumchon-Dong,27.0,98.0,51.6
2014,6,Gwanak-Gu,17.0,80.0,45.2
2014,6,Jeongnim-Dong,26.0,79.0,45.766666666666666
2014,6,Jungang-Way,32.0,89.0,52.53333333333333
2014,6,Juwol-Dong,27.0,80.0,46.5
2014,6,Nowon-Gu,29.0,97.0,56.6
