,,, pm25, pm25, pm25
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,,,
2013,12,Gwanak-Gu,,,
2013,12,Jeongnim-Dong,,,
2013,12,Jungang-Way,,,
2013,12,Juwol-Dong,,,
2013,12,Nowon-Gu,,,
2014,1,Bangsan-Myeon,,,
2014,1,Geumchon-Dong,,,
2014,1,Gwanak-Gu,,,
2014,1,Jeongnim-Dong,,,
2014,1,Jungang-Way,,,
2014,1,Juwol-Dong,,,
2014,1,Nowon-Gu,,,
2014,1,Pado-Ri,,,
2014,1,Seolseong-Myeon,,,
2014,2,Bangsan-Myeon,,,
2014,2,Geumchon-Dong,,,
2014,2,Gwanak-Gu,,,
2014,2,Jeongnim-Dong,,,
2014,2,Jungang-Way,,,
2014,2,Juwol-Dong,,,
2014,2,Nowon-Gu,,,
2014,2,Pado-Ri,,,
2014,2,Seolseong-Myeon,,,
2014,3,Bangsan-Myeon,,,
2014,3,Geumchon-Dong,,,
2014,3,Gwanak-Gu,,,
2014,3,Jeongnim-Dong,,,
2014,3,Jungang-Way,,,
2014,3,Juwol-Dong,,,
2014,3,Nowon-Gu,,,
2014,3,Pado-Ri,,,
2014,3,Seolseong-Myeon,,,
2014,4,Bangsan-Myeon,,,
2014,4,Geumchon-Dong,,,
2014,4,Gwanak-Gu,,,
2014,4,Jeongnim-Dong,,,
2014,4,Jungang-Way,,,
2014,4,Juwol-Dong,,,
2014,4,Nowon-Gu,,,
2014,4,Pado-Ri,,,
2014,4,Seolseong-Myeon,,,
2014,5,Bangsan-Myeon,,,
2014,5,Geumchon-Dong,,,
2014,5,Gwanak-Gu,,,
2014,5,Jeongnim-Dong,,,
2014,5,Jungang-Way,,,
2014,5,Juwol-Dong,,,
2014,5,Nowon-Gu,,,
2014,5,Pado-Ri,,,
2014,5,Seolseong-Myeon,,,
2014,6,Bangsan-Myeon,,,
2014,6,Geumchon-Dong,,,
2014,6,Gwanak-Gu,,,
2014,6,Jeongnim-Dong,,,
2014,6,Jungang-Way,,,
2014,6,Juwol-Dong,,,
2014,6,Nowon-Gu,,,
2014,6,Pado-Ri,,,
2014,6,Seolseong-Myeon,,,
2014,7,Bangsan-Myeon,,,
2014,7,Geumchon-Dong,,,
2014,7,Gwanak-Gu,,,
2014,7,Jeongnim-Dong,,,
2014,7,Jungang-Way,,,
2014,7,Juwol-Dong,,,
2014,7,Nowon-Gu,,,
2014,7,Pado-Ri,,,
2014,7,Seolseong-Myeon,,,
2014,8,Bangsan-Myeon,,,
2014,8,Geumchon-Dong,,,
2014,8,Gwanak-Gu,19.0,120.0,59.56666666666667
2014,8,Jeongnim-Dong,,,
2014,8,Jungang-Way,,,
2014,8,Juwol-Dong,,,
2014,8,Nowon-Gu,12.0,105.0,51.55172413793103
2014,8,Pado-Ri,,,
2014,8,Seolseong-Myeon,,,
2014,9,Bangsan-Myeon,,,
2014,9,Geumchon-Dong,,,
2014,9,Gwanak-Gu,24.0,99.0,58.63333333333333
2014,9,Jeongnim-Dong,,,
2014,9,Jungang-Way,,,
2014,9,Juwol-Dong,,,
2014,9,Nowon-Gu,21.0,84.0,50.7
2014,9,Pado-Ri,,,
2014,9,Seolseong-Myeon,,,
2014,10,Bangsan-Myeon,,,
2014,10,Geumchon-Dong,,,
2014,10,Gwanak-Gu,30.0,97.0,56.67741935483871
2014,10,Jeongnim-Dong,,,
2014,10,Jungang-Way,,,
2014,10,Juwol-Dong,,,
