,,, so2, so2, so2
,,,min,max,mean
date,date,City,,,
2013,12,Geumchon-Dong,14.0,14.0,14.0
2013,12,Gwanak-Gu,14.0,14.0,14.0
2013,12,Jeongnim-Dong,8.0,8.0,8.0
2013,12,Jungang-Way,15.0,15.0,15.0
2013,12,Juwol-Dong,11.0,11.0,11.0
2013,12,Nowon-Gu,16.0,16.0,16.0
2014,1,Bangsan-Myeon,3.0,5.0,3.4285714285714284
2014,1,Geumchon-Dong,5.0,19.0,11.290322580645162
2014,1,Gwanak-Gu,4.0,21.0,10.806451612903226
2014,1,Jeongnim-Dong,3.0,16.0,7.129032258064516
2014,1,Jungang-Way,5.0,15.0,10.225806451612904
2014,1,Juwol-Dong,5.0,16.0,8.935483870967742
2014,1,Nowon-Gu,7.0,17.0,12.064516129032258
2014,1,Pado-Ri,1.0,3.0,1.8571428571428572
2014,1,Seolseong-Myeon,2.0,3.0,2.4444444444444446
2014,2,Bangsan-Myeon,2.0,11.0,4.181818181818182
2014,2,Geumchon-Dong,3.0,19.0,8.607142857142858
2014,2,Gwanak-Gu,4.0,21.0,8.88888888888889
2014,2,Jeongnim-Dong,2.0,14.0,6.535714285714286
2014,2,Jungang-Way,4.0,19.0,8.857142857142858
2014,2,Juwol-Dong,4.0,14.0,7.392857142857143
2014,2,Nowon-Gu,5.0,18.0,10.142857142857142
2014,2,Pado-Ri,1.0,8.0,2.55
2014,2,Seolseong-Myeon,1.0,9.0,3.8333333333333335
2014,3,Bangsan-Myeon,2.0,11.0,4.75
2014,3,Geumchon-Dong,4.0,17.0,8.96774193548387
2014,3,Gwanak-Gu,4.0,21.0,7.741935483870968
2014,3,Jeongnim-Dong,3.0,8.0,4.645161290322581
2014,3,Jungang-Way,3.0,13.0,7.032258064516129
2014,3,Juwol-Dong,6.0,13.0,8.67741935483871
2014,3,Nowon-Gu,6.0,18.0,9.935483870967742
2014,3,Pado-Ri,1.0,4.0,2.08
2014,3,Seolseong-Myeon,1.0,7.0,3.6451612903225805
2014,4,Bangsan-Myeon,2.0,12.0,3.48
2014,4,Geumchon-Dong,2.0,12.0,5.766666666666667
2014,4,Gwanak-Gu,3.0,12.0,6.75
2014,4,Jeongnim-Dong,1.0,8.0,3.9
2014,4,Jungang-Way,2.0,11.0,4.862068965517241
2014,4,Juwol-Dong,6.0,15.0,9.5
2014,4,Nowon-Gu,6.0,13.0,8.333333333333334
2014,4,Pado-Ri,1.0,33.0,3.3157894736842106
2014,4,Seolseong-Myeon,1.0,7.0,3.6206896551724137
2014,5,Bangsan-Myeon,1.0,5.0,2.7777777777777777
2014,5,Geumchon-Dong,3.0,13.0,6.2
2014,5,Gwanak-Gu,4.0,13.0,8.03225806451613
2014,5,Jeongnim-Dong,2.0,8.0,4.0
2014,5,Jungang-Way,3.0,9.0,5.0
2014,5,Juwol-Dong,3.0,14.0,8.580645161290322
2014,5,Nowon-Gu,6.0,14.0,8.774193548387096
2014,5,Pado-Ri,1.0,5.0,1.9130434782608696
2014,5,Seolseong-Myeon,1.0,6.0,3.5161290322580645
2014,6,Bangsan-Myeon,2.0,3.0,2.2
2014,6,Geumchon-Dong,2.0,5.0,3.4074074074074074
2014,6,Gwanak-Gu,4.0,10.0,6.0
2014,6,Jeongnim-Dong,2.0,4.0,2.923076923076923
2014,6,Jungang-Way,2.0,5.0,3.2666666666666666
2014,6,Juwol-Dong,1.0,7.0,3.4615384615384617
2014,6,Nowon-Gu,6.0,8.0,6.7
